epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1706108610561,2024-01-24T17:03:30.561,0.750,0.657,0.746,0.108,-0.000
1706108610571,2024-01-24T17:03:30.571,0.760,0.657,0.746,0.108,-0.000
1706108610581,2024-01-24T17:03:30.581,0.770,0.657,0.746,0.108,-0.000
1706108610591,2024-01-24T17:03:30.591,0.780,0.657,0.746,0.108,-0.000
1706108610601,2024-01-24T17:03:30.601,0.790,0.657,0.746,0.108,-0.000
1706108610611,2024-01-24T17:03:30.611,0.800,0.657,0.746,0.108,-0.000
1706108610621,2024-01-24T17:03:30.621,0.810,0.657,0.746,0.108,-0.000
1706108610631,2024-01-24T17:03:30.631,0.820,0.657,0.746,0.108,-0.000
1706108610641,2024-01-24T17:03:30.641,0.830,0.657,0.746,0.108,-0.000
1706108610651,2024-01-24T17:03:30.651,0.840,0.657,0.746,0.108,-0.000
1706108610661,2024-01-24T17:03:30.661,0.850,0.657,0.746,0.108,-0.000
1706108610671,2024-01-24T17:03:30.671,0.860,0.657,0.746,0.108,-0.000
1706108610681,2024-01-24T17:03:30.681,0.870,0.657,0.746,0.108,-0.000
1706108610691,2024-01-24T17:03:30.691,0.880,0.657,0.746,0.108,-0.000
1706108610701,2024-01-24T17:03:30.701,0.890,0.657,0.746,0.108,-0.000
1706108610711,2024-01-24T17:03:30.711,0.900,0.657,0.746,0.108,-0.000
1706108610721,2024-01-24T17:03:30.721,0.910,0.657,0.746,0.108,-0.000
1706108610731,2024-01-24T17:03:30.731,0.920,0.657,0.746,0.108,-0.000
1706108610741,2024-01-24T17:03:30.741,0.930,0.657,0.746,0.108,-0.000
1706108610751,2024-01-24T17:03:30.751,0.940,0.657,0.746,0.108,-0.000
1706108610761,2024-01-24T17:03:30.761,0.950,0.657,0.746,0.108,-0.000
1706108610771,2024-01-24T17:03:30.771,0.960,0.657,0.746,0.108,-0.000
1706108610781,2024-01-24T17:03:30.781,0.970,0.657,0.746,0.108,-0.000
1706108610791,2024-01-24T17:03:30.791,0.980,0.657,0.746,0.108,-0.000
1706108610801,2024-01-24T17:03:30.801,0.990,0.657,0.746,0.108,-0.000
1706108610811,2024-01-24T17:03:30.811,1.000,0.657,0.746,0.108,-0.000
1706108610821,2024-01-24T17:03:30.821,1.010,0.657,0.746,0.108,-0.000
1706108610831,2024-01-24T17:03:30.831,1.020,0.657,0.746,0.108,-0.000
1706108610841,2024-01-24T17:03:30.841,1.030,0.657,0.746,0.108,-0.000
1706108610851,2024-01-24T17:03:30.851,1.040,0.657,0.746,0.108,-0.000
1706108610861,2024-01-24T17:03:30.861,1.050,0.657,0.746,0.108,-0.000
1706108610871,2024-01-24T17:03:30.871,1.060,0.657,0.746,0.108,-0.000
1706108610881,2024-01-24T17:03:30.881,1.070,0.657,0.746,0.108,-0.000
1706108610891,2024-01-24T17:03:30.891,1.080,0.657,0.746,0.108,-0.000
1706108610901,2024-01-24T17:03:30.901,1.090,0.657,0.746,0.108,-0.000
1706108610911,2024-01-24T17:03:30.911,1.100,0.657,0.746,0.108,-0.000
1706108610921,2024-01-24T17:03:30.921,1.110,0.657,0.746,0.108,-0.000
1706108610931,2024-01-24T17:03:30.931,1.120,0.657,0.746,0.108,-0.000
1706108610941,2024-01-24T17:03:30.941,1.130,0.657,0.746,0.108,-0.000
1706108610951,2024-01-24T17:03:30.951,1.140,0.657,0.746,0.108,-0.000
1706108610961,2024-01-24T17:03:30.961,1.150,0.657,0.746,0.108,-0.000
