Device,MAC,Timestamp,Time(03:00),Elapsed(s),X(number),Y(number),Z (number)
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714035522045,null,null,0.9999174,0.009090146,0.009089587,2.903101E-6
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714035522095,null,null,0.9999174,0.009090146,0.009089587,2.903101E-6
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714035522194,null,null,0.9999174,0.009090146,0.009089587,2.903101E-6
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714035522290,null,null,0.9999174,0.009090146,0.009089587,2.903101E-6
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714035522337,null,null,0.9999174,0.009090146,0.009089587,2.903101E-6
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714035522385,null,null,0.9999174,0.009090146,0.009089587,2.903101E-6
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714035522438,null,null,0.9999174,0.009090146,0.009089587,2.903101E-6
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714035522533,null,null,0.9999174,0.009090146,0.009089587,2.903101E-6
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714035522583,null,null,0.9999174,0.009090146,0.009089587,2.903101E-6
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714035522628,null,null,0.9999174,0.009090146,0.009089587,2.903101E-6
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714035522679,null,null,0.9999174,0.009090146,0.009089587,2.903101E-6
ameC8:92:5E:7D:C6:BD,C8925E7DC6BD,1714035522729,null,null,0.9999174,0.009090146,0.009089587,2.903101E-6
