Device,MAC,Timestamp,Time(03:00),Elapsed(s),X(number),Y(number),Z (number)
7,FEAC84C53DE7,1722516308064,2024-08-01T15:45:08.064,0.00000000000,0.04177470000,-0.03763875400,0.00210690220
7,FEAC84C53DE7,1722516308074,2024-08-01T15:45:08.074,0.01000000000,0.04232886800,-0.03560764000,0.00170460660
7,FEAC84C53DE7,1722516308084,2024-08-01T15:45:08.084,0.02000000000,0.04094848400,-0.03697883300,0.00219285400
7,FEAC84C53DE7,1722516308094,2024-08-01T15:45:08.094,0.03000000000,0.03956659500,-0.03688688600,0.00219282340
7,FEAC84C53DE7,1722516308104,2024-08-01T15:45:08.104,0.04000000000,0.03720265000,-0.03484770000,0.00170451240
7,FEAC84C53DE7,1722516308114,2024-08-01T15:45:08.114,0.05000000000,0.04020993800,-0.03671500000,0.00072801160
7,FEAC84C53DE7,1722516308124,2024-08-01T15:45:08.124,0.06000000000,0.04118659300,-0.03671500000,0.00268113470
7,FEAC84C53DE7,1722516308134,2024-08-01T15:45:08.134,0.07000000000,0.04076838000,-0.03322312600,0.00407511100
7,FEAC84C53DE7,1722516308144,2024-08-01T15:45:08.144,0.08000000000,0.03986918000,-0.03557880600,0.00212180540
7,FEAC84C53DE7,1722516308154,2024-08-01T15:45:08.154,0.09000000000,0.04044036600,-0.03646347000,0.00016880076
7,FEAC84C53DE7,1722516308164,2024-08-01T15:45:08.164,0.10000000000,0.04148699300,-0.03443269400,0.00163382230
7,FEAC84C53DE7,1722516308174,2024-08-01T15:45:08.174,0.11000000000,0.04107602300,-0.03630024000,0.00407487060
7,FEAC84C53DE7,1722516308184,2024-08-01T15:45:08.184,0.12000000000,0.03775379800,-0.03717532000,0.00253197500
7,FEAC84C53DE7,1722516308194,2024-08-01T15:45:08.194,0.13000000000,0.04320609000,-0.03513667000,0.00343018820
7,FEAC84C53DE7,1722516308204,2024-08-01T15:45:08.204,0.14000000000,0.03979235500,-0.03562529000,0.00432020500
7,FEAC84C53DE7,1722516308214,2024-08-01T15:45:08.214,0.15000000000,0.03937744700,-0.03506052500,0.00228255900
7,FEAC84C53DE7,1722516308224,2024-08-01T15:45:08.224,0.16000000000,0.04231146000,-0.03506504700,0.00407102660
7,FEAC84C53DE7,1722516308234,2024-08-01T15:45:08.234,0.17000000000,0.03987482200,-0.03409281400,0.00145751230
7,FEAC84C53DE7,1722516308244,2024-08-01T15:45:08.244,0.18000000000,0.03987910000,-0.03702692300,0.00031769308
7,FEAC84C53DE7,1722516308254,2024-08-01T15:45:08.254,0.19000000000,0.03841853500,-0.03312534500,0.00064289550
7,FEAC84C53DE7,1722516308264,2024-08-01T15:45:08.264,0.20000000000,0.03939952300,-0.03654812300,0.00291696350
7,FEAC84C53DE7,1722516308274,2024-08-01T15:45:08.274,0.21000000000,0.04086816000,-0.03411294000,0.00224489070
7,FEAC84C53DE7,1722516308284,2024-08-01T15:45:08.284,0.22000000000,0.03891916600,-0.03314168000,0.00109603640
7,FEAC84C53DE7,1722516308414,2024-08-01T15:45:08.414,0.35000000000,0.03997454800,-0.03552376500,0.00062316336
7,FEAC84C53DE7,1722516308424,2024-08-01T15:45:08.424,0.36000000000,0.04143909700,-0.03601233700,-0.00035294844
7,FEAC84C53DE7,1722516308434,2024-08-01T15:45:08.434,0.37000000000,0.04436737300,-0.03454905000,0.00013655402
7,FEAC84C53DE7,1722516308444,2024-08-01T15:45:08.444,0.38000000000,0.04241230700,-0.03357457700,0.00111430690
7,FEAC84C53DE7,1722516308454,2024-08-01T15:45:08.454,0.39000000000,0.04094585800,-0.03406451300,-0.00034898255
7,FEAC84C53DE7,1722516308464,2024-08-01T15:45:08.464,0.40000000000,0.04297420400,-0.03349293800,0.00062936290
7,FEAC84C53DE7,1722516308474,2024-08-01T15:45:08.474,0.41000000000,0.04256591000,-0.03536233300,0.00543377100
7,FEAC84C53DE7,1722516308494,2024-08-01T15:45:08.494,0.43000000000,0.04367759500,-0.03521310500,0.00396603200
7,FEAC84C53DE7,1722516308504,2024-08-01T15:45:08.504,0.44000000000,0.04423346400,-0.03416608600,0.00389355230
7,FEAC84C53DE7,1722516308514,2024-08-01T15:45:08.514,0.45000000000,0.04325325400,-0.03270562400,0.00535538930
7,FEAC84C53DE7,1722516308524,2024-08-01T15:45:08.524,0.46000000000,0.03934550300,-0.03612519000,0.00632870200
7,FEAC84C53DE7,1722516308534,2024-08-01T15:45:08.534,0.47000000000,0.04129823700,-0.03661396000,0.00095704210
7,FEAC84C53DE7,1722516308544,2024-08-01T15:45:08.544,0.48000000000,0.04276196000,-0.03417372300,0.00290936300
7,FEAC84C53DE7,1722516308554,2024-08-01T15:45:08.554,0.49000000000,0.04129527000,-0.03222269000,0.00534892200
7,FEAC84C53DE7,1722516308564,2024-08-01T15:45:08.564,0.50000000000,0.04275792500,-0.03369011000,0.00339412760
7,FEAC84C53DE7,1722516308574,2024-08-01T15:45:08.574,0.51000000000,0.04324329000,-0.03320523400,0.00095224360
7,FEAC84C53DE7,1722516308584,2024-08-01T15:45:08.584,0.52000000000,0.03982372000,-0.03418344600,0.00436919700
7,FEAC84C53DE7,1722516308594,2024-08-01T15:45:08.594,0.53000000000,0.03884642600,-0.03369609000,0.00436818500
7,FEAC84C53DE7,1722516308604,2024-08-01T15:45:08.604,0.54000000000,0.04421620000,-0.03516268400,0.00485467860
7,FEAC84C53DE7,1722516308614,2024-08-01T15:45:08.614,0.55000000000,0.04421250500,-0.03174894700,0.00338756940
