E15561CB9161,1708610511841,2024-02-22T16:01:51.841,0,0.8078303,-0.29939917,0.5077109
E15561CB9161,1708610511851,2024-02-22T16:01:51.851,0.01,0.79912865,-0.3053678,0.5178261
E15561CB9161,1708610511861,2024-02-22T16:01:51.861,0.02,0.7901996,-0.3113086,0.52789354
E15561CB9161,1708610511871,2024-02-22T16:01:51.871,0.03,0.781049,-0.31721002,0.53790355
E15561CB9161,1708610511881,2024-02-22T16:01:51.881,0.04,0.77168506,-0.3230743,0.54783666
E15561CB9161,1708610511891,2024-02-22T16:01:51.891,0.05,0.76211584,-0.32888782,0.55768466
E15561CB9161,1708610511901,2024-02-22T16:01:51.901,0.06,0.752349,-0.33463398,0.56744254
E15561CB9161,1708610511911,2024-02-22T16:01:51.911,0.07,0.74239445,-0.34032154,0.577089
E15561CB9161,1708610511921,2024-02-22T16:01:51.921,0.08,0.7322634,-0.34593433,0.5866172
E15561CB9161,1708610511931,2024-02-22T16:01:51.931,0.09,0.7219667,-0.3514728,0.5960125
E15561CB9161,1708610511941,2024-02-22T16:01:51.941,0.1,0.7115163,-0.35693222,0.60526353
E15561CB9161,1708610511951,2024-02-22T16:01:51.951,0.11,0.70092463,-0.36230633,0.61436045
E15561CB9161,1708610511961,2024-02-22T16:01:51.961,0.12,0.6902046,-0.3675833,0.6232977
E15561CB9161,1708610511971,2024-02-22T16:01:51.971,0.13,0.67937034,-0.37275743,0.6320663
E15561CB9161,1708610511981,2024-02-22T16:01:51.981,0.14,0.6684343,-0.37782437,0.6406593
E15561CB9161,1708610511991,2024-02-22T16:01:51.991,0.15,0.65741,-0.38277796,0.649071
E15561CB9161,1708610512001,2024-02-22T16:01:52.001,0.16,0.6463115,-0.3876217,0.6572906
E15561CB9161,1708610512011,2024-02-22T16:01:52.011,0.17,0.6351553,-0.39235455,0.6653087
E15561CB9161,1708610512021,2024-02-22T16:01:52.021,0.18,0.623951,-0.39696473,0.67313015
E15561CB9161,1708610512031,2024-02-22T16:01:52.031,0.19,0.61271244,-0.40145385,0.68074834
E15561CB9161,1708610512041,2024-02-22T16:01:52.041,0.2,0.601458,-0.40582904,0.68815047
E15561CB9161,1708610512051,2024-02-22T16:01:52.051,0.21,0.59020776,-0.41006723,0.6953414
E15561CB9161,1708610512061,2024-02-22T16:01:52.061,0.22,0.578968,-0.4141811,0.7023177
E15561CB9161,1708610512071,2024-02-22T16:01:52.071,0.23,0.5677485,-0.4181736,0.7090786
E15561CB9161,1708610512081,2024-02-22T16:01:52.081,0.24,0.5565618,-0.4220312,0.71563166
E15561CB9161,1708610512091,2024-02-22T16:01:52.091,0.25,0.54542613,-0.4257671,0.72196454
E15561CB9161,1708610512101,2024-02-22T16:01:52.101,0.26,0.5343517,-0.42938244,0.728079
E15561CB9161,1708610512111,2024-02-22T16:01:52.111,0.27,0.5233564,-0.43285707,0.7339843
E15561CB9161,1708610512121,2024-02-22T16:01:52.121,0.28,0.51244974,-0.4362013,0.73967814
E15561CB9161,1708610512131,2024-02-22T16:01:52.131,0.29,0.5016338,-0.4394314,0.7451601
E15561CB9161,1708610512141,2024-02-22T16:01:52.141,0.3,0.4909182,-0.4425448,0.7504356
E15561CB9161,1708610512151,2024-02-22T16:01:52.151,0.31,0.48031604,-0.44553584,0.7555094
E15561CB9161,1708610512161,2024-02-22T16:01:52.161,0.32,0.46983668,-0.4484089,0.7603835
E15561CB9161,1708610512171,2024-02-22T16:01:52.171,0.33,0.45948797,-0.45116758,0.76506126
E15561CB9161,1708610512181,2024-02-22T16:01:52.181,0.34,0.4492764,-0.453817,0.7695458
E15561CB9161,1708610512191,2024-02-22T16:01:52.191,0.35,0.43920547,-0.45635295,0.7738478
E15561CB9161,1708610512201,2024-02-22T16:01:52.201,0.36,0.4292867,-0.45878312,0.77796584
E15561CB9161,1708610512211,2024-02-22T16:01:52.211,0.37,0.41952214,-0.46110928,0.7819076
E15561CB9161,1708610512221,2024-02-22T16:01:52.221,0.38,0.40990788,-0.46333608,0.78568137
E15561CB9161,1708610512231,2024-02-22T16:01:52.231,0.39,0.40045738,-0.46546116,0.7892907
E15561CB9161,1708610512241,2024-02-22T16:01:52.241,0.4,0.39116785,-0.46749243,0.7927411
E15561CB9161,1708610512251,2024-02-22T16:01:52.251,0.41,0.38205707,-0.4694315,0.79603165
E15561CB9161,1708610512261,2024-02-22T16:01:52.261,0.42,0.37310973,-0.47128212,0.799176
E15561CB9161,1708610512271,2024-02-22T16:01:52.271,0.43,0.36433098,-0.47304896,0.8021768
E15561CB9161,1708610512281,2024-02-22T16:01:52.281,0.44,0.35573578,-0.47473183,0.80503523
E15561CB9161,1708610512291,2024-02-22T16:01:52.291,0.45,0.34731978,-0.47633648,0.8077577
E15561CB9161,1708610512301,2024-02-22T16:01:52.301,0.46,0.3390836,-0.47786483,0.8103502
E15561CB9161,1708610512311,2024-02-22T16:01:52.311,0.47,0.3310273,-0.4793186,0.81281894
E15561CB9161,1708610512321,2024-02-22T16:01:52.321,0.48,0.32315266,-0.48070467,0.8151658
E15561CB9161,1708610512331,2024-02-22T16:01:52.331,0.49,0.3154497,-0.48202434,0.8174008
E15561CB9161,1708610512341,2024-02-22T16:01:52.341,0.5,0.30792096,-0.48328194,0.8195263
E15561CB9161,1708610512351,2024-02-22T16:01:52.351,0.51,0.30056557,-0.4844773,0.82154864
E15561CB9161,1708610512361,2024-02-22T16:01:52.361,0.52,0.2933764,-0.48561046,0.8234761
E15561CB9161,1708610512371,2024-02-22T16:01:52.371,0.53,0.2863447,-0.48669192,0.8253107
