epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1706108610669,2024-01-24T17:03:30.669,0.770,1.000,0.004,0.014,0.000
1706108610679,2024-01-24T17:03:30.679,0.780,1.000,0.004,0.014,0.000
1706108610689,2024-01-24T17:03:30.689,0.790,1.000,0.004,0.014,0.000
1706108610699,2024-01-24T17:03:30.699,0.800,1.000,0.004,0.014,0.000
1706108610709,2024-01-24T17:03:30.709,0.810,1.000,0.004,0.014,0.000
1706108610719,2024-01-24T17:03:30.719,0.820,1.000,0.004,0.014,0.000
1706108610729,2024-01-24T17:03:30.729,0.830,1.000,0.004,0.014,0.000
1706108610739,2024-01-24T17:03:30.739,0.840,1.000,0.004,0.014,0.000
1706108610749,2024-01-24T17:03:30.749,0.850,1.000,0.004,0.014,0.000
1706108610759,2024-01-24T17:03:30.759,0.860,1.000,0.004,0.014,0.000
1706108610769,2024-01-24T17:03:30.769,0.870,1.000,0.004,0.014,0.000
1706108610779,2024-01-24T17:03:30.779,0.880,1.000,0.004,0.014,0.000
1706108610789,2024-01-24T17:03:30.789,0.890,1.000,0.004,0.014,0.000
1706108610799,2024-01-24T17:03:30.799,0.900,1.000,0.004,0.014,0.000
1706108610809,2024-01-24T17:03:30.809,0.910,1.000,0.004,0.014,0.000
1706108610819,2024-01-24T17:03:30.819,0.920,1.000,0.004,0.014,0.000
1706108610829,2024-01-24T17:03:30.829,0.930,1.000,0.004,0.014,0.000
1706108610839,2024-01-24T17:03:30.839,0.940,1.000,0.004,0.014,0.000
1706108610849,2024-01-24T17:03:30.849,0.950,1.000,0.004,0.014,0.000
1706108610859,2024-01-24T17:03:30.859,0.960,1.000,0.004,0.014,0.000
1706108610869,2024-01-24T17:03:30.869,0.970,1.000,0.004,0.014,0.000
1706108610879,2024-01-24T17:03:30.879,0.980,1.000,0.004,0.014,0.000
1706108610889,2024-01-24T17:03:30.889,0.990,1.000,0.004,0.014,0.000
1706108610899,2024-01-24T17:03:30.899,1.000,1.000,0.004,0.014,0.000
1706108610909,2024-01-24T17:03:30.909,1.010,1.000,0.004,0.014,0.000
1706108610919,2024-01-24T17:03:30.919,1.020,1.000,0.004,0.014,0.000
1706108610929,2024-01-24T17:03:30.929,1.030,1.000,0.004,0.014,0.000
1706108610939,2024-01-24T17:03:30.939,1.040,1.000,0.004,0.014,0.000
1706108610949,2024-01-24T17:03:30.949,1.050,1.000,0.004,0.014,0.000
1706108610959,2024-01-24T17:03:30.959,1.060,1.000,0.004,0.014,0.000
1706108610969,2024-01-24T17:03:30.969,1.070,1.000,0.004,0.014,0.000
1706108610979,2024-01-24T17:03:30.979,1.080,1.000,0.004,0.014,0.000
1706108610989,2024-01-24T17:03:30.989,1.090,1.000,0.004,0.014,0.000
1706108610999,2024-01-24T17:03:30.999,1.100,1.000,0.004,0.014,0.000
1706108611009,2024-01-24T17:03:31.009,1.110,1.000,0.004,0.014,0.000
1706108611019,2024-01-24T17:03:31.019,1.120,1.000,0.004,0.014,0.000
1706108611029,2024-01-24T17:03:31.029,1.130,1.000,0.004,0.014,0.000
1706108611039,2024-01-24T17:03:31.039,1.140,1.000,0.004,0.014,0.000
1706108611049,2024-01-24T17:03:31.049,1.150,1.000,0.004,0.014,0.000
1706108611059,2024-01-24T17:03:31.059,1.160,1.000,0.004,0.014,0.000
1706108611069,2024-01-24T17:03:31.069,1.170,1.000,0.004,0.014,0.000
1706108611079,2024-01-24T17:03:31.079,1.180,1.000,0.004,0.014,0.000
1706108611089,2024-01-24T17:03:31.089,1.190,1.000,0.004,0.014,0.000
1706108611099,2024-01-24T17:03:31.099,1.200,1.000,0.004,0.014,0.000
1706108611109,2024-01-24T17:03:31.109,1.210,1.000,0.004,0.014,0.000
1706108611119,2024-01-24T17:03:31.119,1.220,1.000,0.004,0.014,0.000
1706108611129,2024-01-24T17:03:31.129,1.230,1.000,0.004,0.014,0.000
1706108611139,2024-01-24T17:03:31.139,1.240,1.000,0.004,0.014,0.000
