Device,MAC,Timestamp,Time(03:00),elapsed (s),X(number),Y(number),Z (number)
4,E25AD03D0194,1721221264043,2024-07-17T16:01:04.043,0.64,-0.019856233,0.014604965,0.009218567
4,E25AD03D0194,1721221264053,2024-07-17T16:01:04.053,0.65,-0.022684779,0.010609592,0.0049702516
4,E25AD03D0194,1721221264063,2024-07-17T16:01:04.063,0.66,-0.0255107,0.008081006,0.0031799092
4,E25AD03D0194,1721221264073,2024-07-17T16:01:04.073,0.67,-0.02345469,0.008456844,0.0028962437
4,E25AD03D0194,1721221264083,2024-07-17T16:01:04.083,0.68,-0.026283236,0.003954165,0.0025855007
4,E25AD03D0194,1721221264093,2024-07-17T16:01:04.093,0.69,-0.028135903,0.0014014854,0.005204594
4,E25AD03D0194,1721221264103,2024-07-17T16:01:04.103,0.7,-0.027063748,0.00028906882,0.0048952373
4,E25AD03D0194,1721221264113,2024-07-17T16:01:04.113,0.71,-0.023555925,0.006473075,0.0055618947
4,E25AD03D0194,1721221264123,2024-07-17T16:01:04.123,0.72,-0.023467818,0.010206889,0.0028131576
4,E25AD03D0194,1721221264133,2024-07-17T16:01:04.133,0.73,-0.02436172,0.0075626145,0.00544307
4,E25AD03D0194,1721221264153,2024-07-17T16:01:04.153,0.75,-0.024192119,0.006184031,0.002917164
4,E25AD03D0194,1721221264163,2024-07-17T16:01:04.163,0.76,-0.02605733,0.0055143344,0.0031090095
4,E25AD03D0194,1721221264203,2024-07-17T16:01:04.203,0.8,-0.02281305,0.0113679785,0.0064786733
4,E25AD03D0194,1721221264223,2024-07-17T16:01:04.223,0.82,-0.021192223,0.0074584866,0.004481515
4,E25AD03D0194,1721221264233,2024-07-17T16:01:04.233,0.83,-0.02208019,0.006783563,0.0061458973
4,E25AD03D0194,1721221264243,2024-07-17T16:01:04.243,0.84,-0.020526173,0.0075660422,0.00343406
4,E25AD03D0194,1721221264253,2024-07-17T16:01:04.253,0.85,-0.023370571,0.01273358,0.0065645613
4,E25AD03D0194,1721221264263,2024-07-17T16:01:04.263,0.86,-0.02376277,0.012089885,0.0038306117
4,E25AD03D0194,1721221264273,2024-07-17T16:01:04.273,0.87,-0.0217124,0.010489503,0.0020506626
4,E25AD03D0194,1721221264283,2024-07-17T16:01:04.283,0.88,-0.022099348,0.01037035,0.0032001426
4,E25AD03D0194,1721221264293,2024-07-17T16:01:04.293,0.89,-0.025414037,0.01564238,0.0038360334
4,E25AD03D0194,1721221264313,2024-07-17T16:01:04.313,0.91,-0.02714738,0.01454077,0.007028603
4,E25AD03D0194,1721221264323,2024-07-17T16:01:04.323,0.92,-0.027521687,0.012056018,0.0027602913
4,E25AD03D0194,1721221264333,2024-07-17T16:01:04.333,0.93,-0.023012504,0.012521591,0.0023617703
4,E25AD03D0194,1721221264343,2024-07-17T16:01:04.343,0.94,-0.024851557,0.0110464655,0.0024197663
4,E25AD03D0194,1721221264373,2024-07-17T16:01:04.373,0.97,-0.02695979,0.0027969172,0.0042861444
4,E25AD03D0194,1721221264393,2024-07-17T16:01:04.393,0.99,-0.026757611,0.0037350901,0.00271997
4,E25AD03D0194,1721221264413,2024-07-17T16:01:04.413,1.01,-0.026580814,0.0035936676,0.00699064
4,E25AD03D0194,1721221264423,2024-07-17T16:01:04.423,1.02,-0.025524316,0.0073835813,0.0059627313
4,E25AD03D0194,1721221264653,2024-07-17T16:01:04.653,1.25,-0.024054514,0.012451208,0.0076046255
4,E25AD03D0194,1721221264663,2024-07-17T16:01:04.663,1.26,-0.026013277,0.012852793,0.008703914
4,E25AD03D0194,1721221264673,2024-07-17T16:01:04.673,1.27,-0.02357975,0.013241808,0.006878197
4,E25AD03D0194,1721221264683,2024-07-17T16:01:04.683,1.28,-0.020147586,0.011288685,0.0065137735
4,E25AD03D0194,1721221264693,2024-07-17T16:01:04.693,1.29,-0.02257596,0.012280587,0.0065957652
4,E25AD03D0194,1721221264703,2024-07-17T16:01:04.703,1.3,-0.02451469,0.005947281,0.002785126
4,E25AD03D0194,1721221264713,2024-07-17T16:01:04.713,1.31,-0.023524027,0.0054826317,0.0033493086
4,E25AD03D0194,1721221264723,2024-07-17T16:01:04.723,1.32,-0.020574018,0.0069857165,0.0058908775
4,E25AD03D0194,1721221264743,2024-07-17T16:01:04.743,1.34,-0.023953084,0.009031492,0.008971989
4,E25AD03D0194,1721221264753,2024-07-17T16:01:04.753,1.35,-0.02197847,0.01249621,0.0076012095
4,E25AD03D0194,1721221264763,2024-07-17T16:01:04.763,1.36,-0.022445356,0.01547092,0.00427845
4,E25AD03D0194,1721221264773,2024-07-17T16:01:04.773,1.37,-0.020958925,0.015510597,0.0078043113
4,E25AD03D0194,1721221264783,2024-07-17T16:01:04.783,1.38,-0.021427074,0.012123483,0.0064523253
4,E25AD03D0194,1721221264793,2024-07-17T16:01:04.793,1.39,-0.023847084,0.01166022,0.0041455366
4,E25AD03D0194,1721221264803,2024-07-17T16:01:04.803,1.4,-0.019920416,0.011685479,0.005736351
4,E25AD03D0194,1721221264813,2024-07-17T16:01:04.813,1.41,-0.022829581,0.015612246,0.0053835
4,E25AD03D0194,1721221264833,2024-07-17T16:01:04.833,1.43,-0.025722215,0.0073460923,0.0061203577
4,E25AD03D0194,1721221264843,2024-07-17T16:01:04.843,1.44,-0.02570296,0.0054244534,0.007688939
4,E25AD03D0194,1721221264853,2024-07-17T16:01:04.853,1.45,-0.024705976,0.0064393305,0.008764207
4,E25AD03D0194,1721221264873,2024-07-17T16:01:04.873,1.47,-0.022684975,0.010534334,0.009463224
4,E25AD03D0194,1721221264883,2024-07-17T16:01:04.883,1.48,-0.024102554,0.009220031,0.008107213
4,E25AD03D0194,1721221264903,2024-07-17T16:01:04.903,1.5,-0.022081941,0.010373973,0.0078462735
4,E25AD03D0194,1721221264923,2024-07-17T16:01:04.923,1.52,-0.024462663,0.00954992,0.0026930203
4,E25AD03D0194,1721221264933,2024-07-17T16:01:04.933,1.53,-0.02395639,0.0071302266,0.0037805415
4,E25AD03D0194,1721221264943,2024-07-17T16:01:04.943,1.54,-0.02735588,0.006670002,0.004857402
4,E25AD03D0194,1721221264953,2024-07-17T16:01:04.953,1.55,-0.025383404,0.0081699025,0.0069057913
4,E25AD03D0194,1721221265103,2024-07-17T16:01:05.103,1.7,-0.027038073,0.0057053044,0.00948897
4,E25AD03D0194,1721221265123,2024-07-17T16:01:05.123,1.72,-0.0250479,0.0125893,0.007751372
4,E25AD03D0194,1721221265133,2024-07-17T16:01:05.133,1.73,-0.025519064,0.0072305133,0.009335465
4,E25AD03D0194,1721221265143,2024-07-17T16:01:05.143,1.74,-0.02306142,0.0091835875,0.005561621
4,E25AD03D0194,1721221265153,2024-07-17T16:01:05.153,1.75,-0.025486682,0.0077324817,0.005181273
4,E25AD03D0194,1721221265163,2024-07-17T16:01:05.163,1.76,-0.024006862,0.00921726,0.007220278
4,E25AD03D0194,1721221265193,2024-07-17T16:01:05.193,1.79,-0.023460623,0.0073270802,0.0100210365
4,E25AD03D0194,1721221265203,2024-07-17T16:01:05.203,1.8,-0.02148873,0.013693499,0.008186969
4,E25AD03D0194,1721221265213,2024-07-17T16:01:05.213,1.81,-0.025378931,0.014670061,0.005878029
4,E25AD03D0194,1721221265233,2024-07-17T16:01:05.233,1.83,-0.027787853,0.008322435,0.009562526
4,E25AD03D0194,1721221265243,2024-07-17T16:01:05.243,1.84,-0.025842024,0.008219279,0.008231788
